,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
30,DERBI Foundation,Acculi Labs Pvt Ltd.,Bengaluru,Healthcare,"Non-invasive, Scalable, Preventive, Predictive , Clinically validated Solution ï¿½Lyfas Applicationï¿½ that can be used worldwide for Population Health Screening in covid crisis. Lyfas can be used in Point-of-care Screening, Early-Diagnosis, Root-Cause Analysis, Regular Monitoring, Population Surveillance, and Side- Effectless Home Therapeutics.",non invasive scalable preventive predictive clinically validated solution lyfas application used worldwide population health screening covid crisis lyfas used point care screening early diagnosis root cause analysis regular monitoring population surveillance side effectless home therapeutics
31,DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bangalore, Karnataka",Healthcare,Technology startup providing solutions in Corporate health and wellness domain,technology startup providing solutions corporate health wellness domain
32,IIITB Innovation Center,HAVELI UAVs,"Bangalore, Karnataka","Skill Development, Agri-Tech, Drones","We are a Custom design UAV/drone solutions startup and OEM, based out of Bangalore (India) and we are developing aerial systems that are Affordable for the Indian user and Conscious of the deep-tech induced environmental & social consequences! We aim to bring accessibility of safe & secure and 360 degree personalized Human-centered solutions to all.",custom design uav drone solutions startup oem based bangalore india developing aerial systems affordable indian user conscious deep tech induced environmental social consequences aim bring accessibility safe secure degree personalized human centered solutions
33,AIC Pinnacle Entrepreneurship Forum,Wastinno,"Pune, Maharashtra",agriculture,"Wastinno is group of students pursuing B.E. Mechanical from Pimpri Chinchwad College of Engineering, Pune. We are into design and development of Integrated Machine for Value Addition to Cattle Waste where we focus on creating products out of cattle waste which provide a source of income to farmers and also the products are replacement to single use plastic waste.
",wastinno group students pursuing b e mechanical pimpri chinchwad college engineering pune design development integrated machine value addition cattle waste focus creating products cattle waste provide source income farmers also products replacement single use plastic waste
34,AIC Pinnacle Entrepreneurship Forum,Diabetico - Rise and Move,"Pune, Maharashtra",Healthcare,"Daibetic Rise & move is in healthcare sectore where we provide rehabilation service & diabetic patient care, we are innovating new methods & launching digital platform for the same
",daibetic rise move healthcare sectore provide rehabilation service diabetic patient care innovating new methods launching digital platform
35,AIC Pinnacle Entrepreneurship Forum,3DGuru Innovations,"Pune, Maharashtra",EduTech,"3DGuru is a well established 3D Printing and Design Consultant organization in Pune since 2016. We are a group of engineers having doyen expertise in the field of product design, development and rapid prototyping. We provide one stop solution for our customers. We believe in providing the best quality work in the best possible lead time, so that our customers can save their crucial time to bring the product to market. more information on our website www.3dguru.co.in
",dguru well established printing design consultant organization pune since group engineers doyen expertise field product design development rapid prototyping provide one stop solution customers believe providing best quality work best possible lead time customers save crucial time bring product market information website www dguru co
36,AIC Pinnacle Entrepreneurship Forum,Gupte Education,"Pune, Maharashtra","Ed Tech, Defence","I have developed a dual use algorithm to compress human speech. It compresses 16 bit 8k wav file 20 times. 5Kpbs defense grade compression. I am making app and hardware to deliver lectures to poor students and also rural and remote student where data speed is prob. My app needs very little data. This same algorithm can do electronic warefare. I am likely to get appointments in Army HQ soon and I will be demoing the warefare aspects there. Signals and Intelligence corps. It is dual use work and given latest naxal attack it is better to make sure technical ppl in Indian Army are aware. Mostly naxals have used a device like I have.
",developed dual use algorithm compress human speech compresses bit k wav file times kpbs defense grade compression making app hardware deliver lectures poor students also rural remote student data speed prob app needs little data algorithm electronic warefare likely get appointments army hq soon demoing warefare aspects signals intelligence corps dual use work given latest naxal attack better make sure technical ppl indian army aware mostly naxals used device like
37,AIC Pinnacle Entrepreneurship Forum,Eldew Digital Pvt Ltd,"Pune, Maharashtra","IT, Virtual Events","""HuddleXR is a proprietary enterprise-grade virtual events platform. It offers an adaptable event stack which is easy to use, integrated and data rich. It specialises in delivering an immersive branded experience to a remote audience.
An e-commerce enabled platform, it enables you to create a live marketplace. It creates engaging experiences for your live, online and hybrid events that connect communities from around the globe.""
",huddlexr proprietary enterprise grade virtual events platform offers adaptable event stack easy use integrated data rich specialises delivering immersive branded experience remote audience e commerce enabled platform enables create live marketplace creates engaging experiences live online hybrid events connect communities around globe
38,AIC Pinnacle Entrepreneurship Forum,Secumatic Technologies LLP,"Pune, Maharashtra",Defense,"Secumatic Technologies LLP has collaborated with HEMRL(DRDO) to jointly develop an explosive detection device called OPX-Revilator, that can detect trace explosives during pre-blast and post-blast scenarios. The device is designed to be used by Armed Forces, Police and Paramilitary forces
",secumatic technologies llp collaborated hemrl drdo jointly develop explosive detection device called opx revilator detect trace explosives pre blast post blast scenarios device designed used armed forces police paramilitary forces
39,AIC Pinnacle Entrepreneurship Forum,Catalystgreen Private Limited,"Pune, Maharashtra",E-Mobility,"Catalyst green is a micro mobility business accelerator platform and wants to enable entrepreneurs to start their micro mobility business in a few simple steps and let them choose the various business bundles and focus on what they are good at and what they want to be good at.
",catalyst green micro mobility business accelerator platform wants enable entrepreneurs start micro mobility business simple steps let choose various business bundles focus good want good
40,AIC Pinnacle Entrepreneurship Forum,Dynateq Consulting Pvt.Ltd.,"Pune, Maharashtra",Industril Automation,"""1. Engineering consultancy
2. New product Development
3. Industrial Automation""
",engineering consultancy new product development industrial automation
41,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Yarev Technology Pvt. Ltd.,Rourkela,IoT,"Home automation, medical technology and laboratory equipment development.",home automation medical technology laboratory equipment development
42,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Clavictor Academy Private Limited,Rourkela,Education Technology,"Clavictor Academy Private Limited (Clavimate Classes) is an Ed-Tech startup incubated at FTBI, NIT Rourkela. The startup develops various services like animated video lectures, notes, mock test series, live classes, mentoring facility, real-time doubt clearing facility, and most importantly daily self-study guidance for students under the brand name Clavimate Classes. The startup has won the Odisha Youth Innovation Fund Award-2019 conducted by Govt. of Odisha, and Entrepreneurship in Residence (EiR) grant-2020 from the Ministry of Electronics & IT (MeiTY), Govt. of India. Further, the startup was featured on Twitter of the Ministry of Education, Govt. of India for its effort in implementing student performance improvement strategy to ensure 100% rate of its students. In the last 2 years and 11 months, the startup has helped more than 10000 vernacular medium students of Odisha to get access to high-quality educational services at affordable prices. Further, we have provided free access to our services as scholarships to poor meritorious students based on the recommendation of the school headteachers.",clavictor academy private limited clavimate classes ed tech startup incubated ftbi nit rourkela startup develops various services like animated video lectures notes mock test series live classes mentoring facility real time doubt clearing facility importantly daily self study guidance students brand name clavimate classes startup odisha youth innovation fund award conducted govt odisha entrepreneurship residence eir grant ministry electronics meity govt india startup featured twitter ministry education govt india effort implementing student performance improvement strategy ensure rate students last years months startup helped vernacular medium students odisha get access high quality educational services affordable prices provided free access services scholarships poor meritorious students based recommendation school headteachers
43,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Coratia Technologies,Rourkela,Robotics,"We are a team of alumni from NIT Rourkela. We have formed a company named Coratia Technologies with an aim to provide an end-to-end solution (as products, integrated solution packages & consultancy services) in the field of product design & development, robotics. Currently, we are providing technical support and services on Autonomous underwater vehicles (AUV), Unmanned aerial vehicles (UAV), Prosthetic arms, Industrial dredging.",team alumni nit rourkela formed company named coratia technologies aim provide end end solution products integrated solution packages consultancy services field product design development robotics currently providing technical support services autonomous underwater vehicles auv unmanned aerial vehicles uav prosthetic arms industrial dredging
44,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Quidle Enterprise,Rourkela,IoT and consumer products,Quidle Enterprise is a Tech based urban gardening start-up which aims to re-incarnate the indoor world through innovation by adding the essence of nature. We are currently working on a smart planter that will provide a simple and hassle-free growing system for the indoors.,quidle enterprise tech based urban gardening start aims incarnate indoor world innovation adding essence nature currently working smart planter provide simple hassle free growing system indoors
45,Atal Incubation Centre ALEAP We Hub,Neoinventronix Pvt Ltd,"Hyderabad, Telangana",ICT Electronics,"NeoInventronix is a techno centric innovation company. Our innovative work is mainly focusing on room sterilization and air purification systems. Our strength is in design, development and manufacturing of specialty medical, hospital equipment which can contain and remove all kinds of pathogens, viruses and bacterial from the closed spaces. Particularly in the Isolation Wards, Hospitals, ICU's, OTS, Burn Wards, Courier warehouses, Animal houses etc. The products can be termed as super sterilizers which can cut shot cross contamination and make the environment pleasant.",neoinventronix techno centric innovation company innovative work mainly focusing room sterilization air purification systems strength design development manufacturing specialty medical hospital equipment contain remove kinds pathogens viruses bacterial closed spaces particularly isolation wards hospitals icu ots burn wards courier warehouses animal houses etc products termed super sterilizers cut shot cross contamination make environment pleasant
46,Atal Incubation Centre ALEAP We Hub,Binford Research Lab Pvt Ltd,"Hyderabad, Telangana",ICT Electronics,"Binford Resaerch Labs pvt ltd is a Drone technology company based out of Hyderabad which focuses on the Design , Development, Manufacturing, Assembling and deploying of Unmanned Aerial Vehicles or Drones in the Sectors of Defense and Agriculture
",binford resaerch labs pvt ltd drone technology company based hyderabad focuses design development manufacturing assembling deploying unmanned aerial vehicles drones sectors defense agriculture
47,Atal Incubation Centre ALEAP We Hub,Nimaya Robotics Pvt Ltd,"Chennai, Tamilnadu",ICT Electronics,"Nimaya Robotics has created a series of IoT based Robotic Training devices and end-to-end training program called Suprayoga to help individuals with Autism Spectrum Disorder and other multiple disabilities. It trains them to acquire Daily Life activities and associated psychomotor skills based on active learning, resulting in 60% learning acceleration.Nimaya Robotic systems are backed by 5 yr research, done by Dr. Ramya that got converted into products. An exclusive Suprayoga training mythology was also deviced with the devices. ï¿½Nimayaï¿½ means to ï¿½create a changeï¿½ in Sanskrit and that is exactly what we are trying to do for millions of children by helping them progress towards independent living.
",nimaya robotics created series iot based robotic training devices end end training program called suprayoga help individuals autism spectrum disorder multiple disabilities trains acquire daily life activities associated psychomotor skills based active learning resulting learning acceleration nimaya robotic systems backed yr research done dr ramya got converted products exclusive suprayoga training mythology also deviced devices nimaya means create change sanskrit exactly trying millions children helping progress towards independent living
48,Atal Incubation Centre ALEAP We Hub,Rmatics Solutions LLP,"Hyderabad, Telangana",ICT Electronics,"Rmatics is a robotic design, manufacturing and solutions provider company which works creating a products that helps humans.
",rmatics robotic design manufacturing solutions provider company works creating products helps humans
49,Atal Incubation Centre ALEAP We Hub,Eurth Techtronics Private Limited,"Vijayawada, Andhra Pradesh",ICT Electronics,"We are a seasoned LED lighting and electronics manufacturing unit started in 2016. We work in the sector of energy conservation by intelligent automation for industrial and domestic markets.
",seasoned led lighting electronics manufacturing unit started work sector energy conservation intelligent automation industrial domestic markets
50,SIIC Kanpur,E-Trainer Analytics Wizard Pvt. Ltd (Fitbuddy),New Delhi,Fit-Tech,"FitBuddy, a flagship brand under E-Trainer Analytics Wizard Pvt. Ltd., is the newest 
venture in the sports and fitness analytics space which started with the mission of making
hyper-personalized training experience affordable & accessible for everyone who
inspires to have a healthy lifestyle.
FitBuddy has vision to create a healthy India. Using pioneering technologies like Computer vision and Deep learning, FitBuddy will provide a paradigm shift in the way fitness enthusiasts engage with the fitness regime to get the best outcome from every workout. We want to provide opportunity to people of all age groups right from kids to senior citizens, irrespective of their background, a fitness marketplace to exercise with the correct techniques.",fitbuddy flagship brand e trainer analytics wizard pvt ltd newest venture sports fitness analytics space started mission making hyper personalized training experience affordable accessible everyone inspires healthy lifestyle fitbuddy vision create healthy india using pioneering technologies like computer vision deep learning fitbuddy provide paradigm shift way fitness enthusiasts engage fitness regime get best outcome every workout want provide opportunity people age groups right kids senior citizens irrespective background fitness marketplace exercise correct techniques
51,"SIIC, IIT-Kanpur",Reolo Holographics Pvt LTD,AHMEDABAD,AR/VR,http://filmit.io/,filmit io provides digital tools tutorials modern filmmakers editors enhance skills streamline content creation offerings include effects plugins like color master textpilot gridmaker along premiere pro courses community collaborative learning
52,SIIC IIT Kanpur,WUS ( Product of Pradivya Software Pvt Ltd),"Panchkula, Haryana, India,","""Low Income Workers"" Empowerment","Empowering ""Low Income workers"" to improve their productivity and earning",empowering low income workers improve productivity earning
53,SIIC IIT KANPUR,Cycle spirit Pvt Ltd,Kanpur,Electric vehicles,https://www.startinup.up.gov.in/crm/Welcome/startup_user_details/Mjk1NQ==,na
54,Sandip Incubation,Duende Ingenious LLP,Nashik,Rural Development,"Duende Ingenious LLP is working for rural development and agritech sector from last 3 years ,we have expertise in defined custom soultion for our clients and end user.We work on technolgoies like AI ,ML ,Data Predication System etc",duende ingenious llp working rural development agritech sector last years expertise defined custom soultion clients end user work technolgoies like ai ml data predication system etc
55,ABES Ghaziabad,Suryansh,New delhi,EdTech,"EdTech Startup, training startups in public speaking and problem solving",edtech startup training startups public speaking problem solving
56,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Rekindle Automations Pvt Ltd,Chennai,Healthcare,A Smart Intravenous Dripper System For Centralized Monitoring And Automatic Stopping Of Intravenous Fluid,smart intravenous dripper system centralized monitoring automatic stopping intravenous fluid
57,Sandip Incubation Centre Nashik,Management Forum,Nashik,Infotech,Management Forum is Established in the year 2012 Fir catering job Placement Services in various Sectors. We are in with Various industries for placement in nashik.,management forum established year fir catering job placement services various sectors various industries placement nashik
58,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Hivericks Technologies Pvt Ltd,Chennai,Clean Tech,"Next Generation Of Smart Green Charging Solutions For Li-Ion Battery Devices
",next generation smart green charging solutions li ion battery devices
59,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Taml Nadu",Retail CRM,Capemo,capemo
60,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,Chennai,Healthcare,Indoor Air Quality Monitoring and Purifying System using Hybrid Green Technology,indoor air quality monitoring purifying system using hybrid green technology
61,NSRCEL(IIM-B),MedPiper Technologies Pvt Ltd,"Bangalore, Karnataka",Healthtech,"We build standardised APIs that help developers build, deploy and engage with medical practitioners and hospitals; to provide better products and health services for customers.",build standardised apis help developers build deploy engage medical practitioners hospitals provide better products health services customers
62,Sandip TBI,Payveb Resources Pvt.Ltd,"Nashik , Maharashtra","IT, IoT, Retail, eCommerce & Fintech","SkipnGo is indiaï¿½s first leading counterless payment service platform which allows the customers to experience most uncomplicated and hassle free shopping with no waiting, no lines, no checkouts",skipngo india first leading counterless payment service platform allows customers experience uncomplicated hassle free shopping waiting lines checkouts
63,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Nandha Infotech,"Coimbatore, Tamil Nadu",Agriculture,SenSe Luto ï¿½ Advanced Soil Monitoring & Crop Management System,sense luto advanced soil monitoring crop management system
64,SIIC IIT Kanpur,ClaitoVision Tecnologies Pvt Ltd,"Thane, Maharashtra",Health and FItness,A Software Development Company which is creating India's first AI based fitness trainer that gives you feedback about the exercise you are doing realtime.,software development company creating india first ai based fitness trainer gives feedback exercise realtime
65,VITTBI,Alfaleus Technology Private Limited,Bangalore,Medtech,"Alfaleus has developed and validated a virtual reality based visual field perimeter - an important device fo Glaucoma, reducing device cost by 5x
",alfaleus developed validated virtual reality based visual field perimeter important device fo glaucoma reducing device cost x
66,VITTBI,MR.Abhishek Kumar - company not incorporated (EiR -Foreclosed as of April 2021),Indore,IoT,"""The idea is to integrate Hydroponics and Pisciculture to provide an end product ( using innovative IoT
solutions with Edge devices used to monitor various important parameters) which allows end
consumer to shift to a more self-grown and self-sourced practice of greens and aquatic meats.""
",idea integrate hydroponics pisciculture provide end product using innovative iot solutions edge devices used monitor various important parameters allows end consumer shift self grown self sourced practice greens aquatic meats
67,VITTBI,Egarden Pvt Ltd,chennai,Agri tech,"Promoting Rooftop Garden with Technology
",promoting rooftop garden technology
68,VITTBI,RIVER RBEND DATA SOLUTIONS Pvt. Ltd,HYDERABAD - TELANGANA,Artificial intellegence - Health/MedTech,"""River Bend Data solutions is a Data science company we build Medtech solutions automated by AI_ML technologies to accelerate Health Insurance tech companies with Digital Diagnose Tools and HIMS - (Hospital information management systems).

""
",river bend data solutions data science company build medtech solutions automated ai ml technologies accelerate health insurance tech companies digital diagnose tools hims hospital information management systems
69,VITTBi,GREEN DOMAIN ENERGY SOLUTIONS (yet to incorporate),Kahalgaon Bihar,IOT based Renewable Energy management System,"Developing affordable technology to harness clean source of energy for the least and the most privileged .We save future and money.
",developing affordable technology harness clean source energy least privileged save future money
70,SIIC IIT KANPUR,WeRehab Technologies Pvt Ltd,"Kanpur, UP",Healthtech,CurAlgia is a virtual and physical foot health clinic that allows patients and athletes to get quantitative real time analytics on their walking pattern using Our smart insole.,curalgia virtual physical foot health clinic allows patients athletes get quantitative real time analytics walking pattern using smart insole
71,INurture Incubation Foundation,Hawaiadda Aerial Innovations Private Limited,"Ghaziabad, Uttar Pradesh",Aerospace & Defence,"Hawaiadda is an R&D focused startup in the Aviation & Defence sector. Hawaiadda Researches, Designs and Develops efficient ways to unleash true potentials of UAVs and help humanity with ascending Super-Computers.",hawaiadda r focused startup aviation defence sector hawaiadda researches designs develops efficient ways unleash true potentials uavs help humanity ascending super computers
