,unnamed:_0,unnamed:_0,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
14,14,14,IIIT B Innovation Centre,DeepVisionTech Pvt. Ltd.,"Bangalore, Karnataka","Multiple (Assistive Tech) - Education, B2C, B2B, B2G","DeepVisionTech Pvt. Ltd. is a Social Startup based out of Bangalore, with a vision to empower people with disabilities to live independently by providing AI based innovative solutions. At the moment, we are working on solution Let'sTalkSign ÃÂ¯ÃÂ¿ÃÂ½ possibly the worldÃÂ¯ÃÂ¿ÃÂ½s first solution to empower deaf, speech & hearing impaired people with communication, get education in sign language and get access to essential services.",deepvisiontech pvt ltd social startup based bangalore vision empower people disabilities live independently providing ai based innovative solutions moment working solution let stalksign possibly world first solution empower deaf speech hearing impaired people communication get education sign language get access essential services
15,15,15,Pilani Innovation and Entrepreneurship Development Centre,Nawgati,Gurgoan,Mobility,"www.nawgati.com
",nawgati indian company appeared shark tank india focusing improving fueling experience fuel providers consumers ultimate fueling toolchain nawgati offers consumer app business solutions utilizing technology streamline fuel sales consumption aiming enhance economic structural logistical aspects fueling industry
16,16,16,Pilani Innovation and Entrepreneurship Development Centre,Adnue,Jodhpur,Advertising Technology,"Adnue is a startup hyper-advertising platform where businesses can create, publish, and monitor their advertising campaigns. Their analytics platform enables marketers to make data-based decisions that help improve the overall ROI of their marketing campaigns by delivering insights that are real, trackable, and measurable.",adnue startup hyper advertising platform businesses create publish monitor advertising campaigns analytics platform enables marketers make data based decisions help improve overall roi marketing campaigns delivering insights real trackable measurable
17,17,17,Pilani Innovation and Entrepreneurship Development Centre,Medsupervision,Faridabad,Healthcare,"We are Medsupervision, a comprehensive online platform to take care of all your medical needs. Our mission is to provide the best answers to the patient's health-related queries. With our existing and upcoming services, our mission is to create more time for life and wellness in the healthcare industry, both for patients and healthcare experts.",medsupervision comprehensive online platform take care medical needs mission provide best answers patient health related queries existing upcoming services mission create time life wellness healthcare industry patients healthcare experts
18,18,18,Pilani Innovation and Entrepreneurship Development Centre,Nirogyan,New Delhi,Healthcare,"For the 21st century patients, NirogGyan offers diagnostic test reports which are 'Smart Reports' - all terms explained in simple language, interesting content, and world-class design. While a normal test report is just an A4 sheet with terms & measurements on it, our Smart Report is comprehensive but concise at the same time. Labs, doctors and patients in the post-pandemic world are all evolving with these informative reports. The idea of Medsupervision is rooted as a response to the increasing problems being faced by the patients around the globe related to unanswered medical queries. Various patients suffer from chronic diseases such as cancer, CKD, liver disease, BP, diabetes, heart disease. Such patients regularly face some abnormalities in their health and regularly face some minor doubts related to their diet, medications, values in reports, side effects, other abnormal symptoms, etc. It is not always possible, easy, and financially viable to pay (800-2000 INR) to book an appointment, travel (2-3 Hrs) to hospital, and wait for (3-4 Hrs) in the hospital to meet the doctor to clarify a small doubt. In such scenarios, if the patients are little web techie, they try to search for some related posts on google. Such posts are generally tricky to find, and they do not directly address the specific concern. If they are not comfortable with technology, they simply keep tolerating the issue until the next appointment or keep trying their own remedies. Such remedies put the lives of patients at stake as they are already suffering from some dysfunctioning of a vital organ. We aim to provide a user friendly and easy to use environment for the patients where they can ask all their health-related queries and can get a prompt response.",st century patients niroggyan offers diagnostic test reports smart reports terms explained simple language interesting content world class design normal test report sheet terms measurements smart report comprehensive concise time labs doctors patients post pandemic world evolving informative reports idea medsupervision rooted response increasing problems faced patients around globe related unanswered medical queries various patients suffer chronic diseases cancer ckd liver disease bp diabetes heart disease patients regularly face abnormalities health regularly face minor doubts related diet medications values reports side effects abnormal symptoms etc always possible easy financially viable pay inr book appointment travel hrs hospital wait hrs hospital meet doctor clarify small doubt scenarios patients little web techie try search related posts google posts generally tricky find directly address specific concern comfortable technology simply keep tolerating issue next appointment keep trying remedies remedies put lives patients stake already suffering dysfunctioning vital organ aim provide user friendly easy use environment patients ask health related queries get prompt response
19,19,19,Pilani Innovation and Entrepreneurship Development Centre,Valerio Electric,New Delhi,Electric Vechiles,valerio electric private limited startup founded bits pilani alumni operates electric mobility sector core mission establish india largest electric vehicle charging network promote cleaner transportation provide smart charging solutions various establishments backed significant government entities ministry electronics information technology incubators nidhi prayas social alpha ciie iima pieds bits pilani aic isb industry leaders valerio electric offers range ev charging stations including kw vecharge ac kw vecharge wifi ac kw vecharge gsm wifi electric charging stations also provide e rickshaw battery chargers electric charger installation services service provider based north delhi company aims support transition electric vehicles building robust charging infrastructure across india,valerio electric private limited startup founded bits pilani alumni operates electric mobility sector core mission establish india largest electric vehicle charging network promote cleaner transportation provide smart charging solutions various establishments backed significant government entities ministry electronics information technology incubators nidhi prayas social alpha ciie iima pieds bits pilani aic isb industry leaders valerio electric offers range ev charging stations including kw vecharge ac kw vecharge wifi ac kw vecharge gsm wifi electric charging stations also provide e rickshaw battery chargers electric charger installation services service provider based north delhi company aims support transition electric vehicles building robust charging infrastructure across india
20,20,20,Pilani Innovation and Entrepreneurship Development Centre,Syzygy,Jaipur,Healthcare & Logistics,"www.syzygy.ml
",na
21,21,21,Pilani Innovation and Entrepreneurship Development Centre,Urbantrack,Pilani,Urban Transportation,"Urban Track India is India's first integrated multimodal transit feeder service, festooned with a personalized touch, that bloomed in another banal college dormitory. It targets to accommodate local and regional traffic by unifying all modes of transit and corroborate finer trip experience for daily commuters and operation revenue capabilities for transit suppliers.",urban track india india first integrated multimodal transit feeder service festooned personalized touch bloomed another banal college dormitory targets accommodate local regional traffic unifying modes transit corroborate finer trip experience daily commuters operation revenue capabilities transit suppliers
22,22,22,Pilani Innovation and Entrepreneurship Development Centre,Greynight,Bangalore,Space Tech,"http://www.greynight.space/
",na
23,23,23,Pilani Innovation and Entrepreneurship Development Centre,Finquant,Hazartganj,MicroFinance,,na
24,24,24,IIITB Innovation Centre,Breezy,"Bangalore, Karnataka","Environment, Technology",Breezy aims to provide Governments and SWMCs with an AI driven platform to cut down on logistics costs for garbage acquisition,breezy aims provide governments swmcs ai driven platform cut logistics costs garbage acquisition
25,25,25,DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare,Adhesive Non Surgical Hearing Aid for By birth and totally Hearing loss patients,adhesive non surgical hearing aid birth totally hearing loss patients
26,26,26,DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare cold chain,"We are a team of innovators and engineers at MachPhy TM enthused to build sustainable solutions. We have expertise in the fields of energy systems, robotics, machines, agricultural systems, and cold chain solutions & solar solutions.

We innovate and develop products for our clients, using state of art technology and pure aesthetic designs. Ranging from commercial to daily usages, we provide varieties of conventional necessities that are cheaper and ready to use for both rural to urban requirements. We provide cold-chain solutions to our customers with state-of-the-art technology and the best user experience such that our technology solutions translate to our customer's values.",team innovators engineers machphy tm enthused build sustainable solutions expertise fields energy systems robotics machines agricultural systems cold chain solutions solar solutions innovate develop products clients using state art technology pure aesthetic designs ranging commercial daily usages provide varieties conventional necessities cheaper ready use rural urban requirements provide cold chain solutions customers state art technology best user experience technology solutions translate customer values
27,27,27,DERBI Foundation,Fititout Solutions,Chennai,HEALTHCARE,"An assistive tech startup based in Chennai, incubated at Derbi Foundation, Bangalore focusing on developing devices for special children, locomotive disabled and elderly. Active and standing wheelchairs are the initial products.",assistive tech startup based chennai incubated derbi foundation bangalore focusing developing devices special children locomotive disabled elderly active standing wheelchairs initial products
28,28,28,DERBI Foundation,Carbon Hubs Private Limited,"Bangalore, Karnataka",Clean and Health Tech,"Carbon Hubs is a technology-driven startup based out of Bengaluru. It has been recognized as one of the top 50 Indian technology startups. At Carbon hubs, we have deployed a no-touch device with an innovative air filtration technology. The advanced filtration technology captures microbial matter, reduces particulate matter (PM2.5 and PM10) from 300 to 35 within 10 minutes, and removes harmful gases from the surroundings. With our unique air filtration product solutions and services, we are offering eco-friendly surroundings and helping our customers to discover their world of pure air and blissful living.",carbon hubs technology driven startup based bengaluru recognized one top indian technology startups carbon hubs deployed touch device innovative air filtration technology advanced filtration technology captures microbial matter reduces particulate matter pm pm within minutes removes harmful gases surroundings unique air filtration product solutions services offering eco friendly surroundings helping customers discover world pure air blissful living
29,29,29,DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bangalore, Karnataka",Healthcare,"Prayasta is an intellectual property driven startup developing soft tissue implants & prostheses. We are deeptech-in-manufacturing startup.
We are making next generation breast implants & prostheses that are rupture resistant and fully personalized in shape, size, weight, touch and feel.",prayasta intellectual property driven startup developing soft tissue implants prostheses deeptech manufacturing startup making next generation breast implants prostheses rupture resistant fully personalized shape size weight touch feel
30,30,30,DERBI Foundation,Acculi Labs Pvt Ltd.,Bengaluru,Healthcare,"Non-invasive, Scalable, Preventive, Predictive , Clinically validated Solution ÃÂ¯ÃÂ¿ÃÂ½Lyfas ApplicationÃÂ¯ÃÂ¿ÃÂ½ that can be used worldwide for Population Health Screening in covid crisis. Lyfas can be used in Point-of-care Screening, Early-Diagnosis, Root-Cause Analysis, Regular Monitoring, Population Surveillance, and Side- Effectless Home Therapeutics.",non invasive scalable preventive predictive clinically validated solution lyfas application used worldwide population health screening covid crisis lyfas used point care screening early diagnosis root cause analysis regular monitoring population surveillance side effectless home therapeutics
31,31,31,DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bangalore, Karnataka",Healthcare,"HINNTS (Highly Innovative Technology Solutions) is a technology company focused on transforming workplace efficiency, employee well-being, and compliance management. We develop integrated digital tools that help mid to large-sized organizations solve real-world operational challenges with data-driven precision and simplicity.
Founded by Roshan Khan, with 27 years of experience in global IT Industry, HINNTS was born out of a passion for innovation and the belief that technology should solve problems.",hinnts highly innovative technology solutions technology company focused transforming workplace efficiency employee well compliance management develop integrated digital tools help mid large sized organizations solve real world operational challenges data driven precision simplicity founded roshan khan years experience global industry hinnts born passion innovation belief technology solve problems
32,32,32,IIITB Innovation Center,HAVELI UAVs,"Bangalore, Karnataka","Skill Development, Agri-Tech, Drones","We are a Custom design UAV/drone solutions startup and OEM, based out of Bangalore (India) and we are developing aerial systems that are Affordable for the Indian user and Conscious of the deep-tech induced environmental & social consequences! We aim to bring accessibility of safe & secure and 360 degree personalized Human-centered solutions to all.",custom design uav drone solutions startup oem based bangalore india developing aerial systems affordable indian user conscious deep tech induced environmental social consequences aim bring accessibility safe secure degree personalized human centered solutions
33,33,33,AIC Pinnacle Entrepreneurship Forum,Wastinno,"Pune, Maharashtra",agriculture,"Wastinno is group of students pursuing B.E. Mechanical from Pimpri Chinchwad College of Engineering, Pune. We are into design and development of Integrated Machine for Value Addition to Cattle Waste where we focus on creating products out of cattle waste which provide a source of income to farmers and also the products are replacement to single use plastic waste.
",wastinno group students pursuing b e mechanical pimpri chinchwad college engineering pune design development integrated machine value addition cattle waste focus creating products cattle waste provide source income farmers also products replacement single use plastic waste
34,34,34,AIC Pinnacle Entrepreneurship Forum,Diabetico - Rise and Move,"Pune, Maharashtra",Healthcare,"Daibetic Rise & move is in healthcare sectore where we provide rehabilation service & diabetic patient care, we are innovating new methods & launching digital platform for the same
",daibetic rise move healthcare sectore provide rehabilation service diabetic patient care innovating new methods launching digital platform
35,35,35,AIC Pinnacle Entrepreneurship Forum,3DGuru Innovations,"Pune, Maharashtra",EduTech,"3DGuru is a well established 3D Printing and Design Consultant organization in Pune since 2016. We are a group of engineers having doyen expertise in the field of product design, development and rapid prototyping. We provide one stop solution for our customers. We believe in providing the best quality work in the best possible lead time, so that our customers can save their crucial time to bring the product to market. more information on our website www.3dguru.co.in
",dguru well established printing design consultant organization pune since group engineers doyen expertise field product design development rapid prototyping provide one stop solution customers believe providing best quality work best possible lead time customers save crucial time bring product market information website www dguru co
36,36,36,AIC Pinnacle Entrepreneurship Forum,Gupte Education,"Pune, Maharashtra","Ed Tech, Defence","I have developed a dual use algorithm to compress human speech. It compresses 16 bit 8k wav file 20 times. 5Kpbs defense grade compression. I am making app and hardware to deliver lectures to poor students and also rural and remote student where data speed is prob. My app needs very little data. This same algorithm can do electronic warefare. I am likely to get appointments in Army HQ soon and I will be demoing the warefare aspects there. Signals and Intelligence corps. It is dual use work and given latest naxal attack it is better to make sure technical ppl in Indian Army are aware. Mostly naxals have used a device like I have.
",developed dual use algorithm compress human speech compresses bit k wav file times kpbs defense grade compression making app hardware deliver lectures poor students also rural remote student data speed prob app needs little data algorithm electronic warefare likely get appointments army hq soon demoing warefare aspects signals intelligence corps dual use work given latest naxal attack better make sure technical ppl indian army aware mostly naxals used device like
37,37,37,AIC Pinnacle Entrepreneurship Forum,Eldew Digital Pvt Ltd,"Pune, Maharashtra","IT, Virtual Events","""HuddleXR is a proprietary enterprise-grade virtual events platform. It offers an adaptable event stack which is easy to use, integrated and data rich. It specialises in delivering an immersive branded experience to a remote audience.
An e-commerce enabled platform, it enables you to create a live marketplace. It creates engaging experiences for your live, online and hybrid events that connect communities from around the globe.""
",huddlexr proprietary enterprise grade virtual events platform offers adaptable event stack easy use integrated data rich specialises delivering immersive branded experience remote audience e commerce enabled platform enables create live marketplace creates engaging experiences live online hybrid events connect communities around globe
38,38,38,AIC Pinnacle Entrepreneurship Forum,Secumatic Technologies LLP,"Pune, Maharashtra",Defense,"Secumatic Technologies LLP has collaborated with HEMRL(DRDO) to jointly develop an explosive detection device called OPX-Revilator, that can detect trace explosives during pre-blast and post-blast scenarios. The device is designed to be used by Armed Forces, Police and Paramilitary forces
",secumatic technologies llp collaborated hemrl drdo jointly develop explosive detection device called opx revilator detect trace explosives pre blast post blast scenarios device designed used armed forces police paramilitary forces
39,39,39,AIC Pinnacle Entrepreneurship Forum,Catalystgreen Private Limited,"Pune, Maharashtra",E-Mobility,"Catalyst green is a micro mobility business accelerator platform and wants to enable entrepreneurs to start their micro mobility business in a few simple steps and let them choose the various business bundles and focus on what they are good at and what they want to be good at.
",catalyst green micro mobility business accelerator platform wants enable entrepreneurs start micro mobility business simple steps let choose various business bundles focus good want good
40,40,40,AIC Pinnacle Entrepreneurship Forum,Dynateq Consulting Pvt.Ltd.,"Pune, Maharashtra",Industril Automation,"""1. Engineering consultancy
2. New product Development
3. Industrial Automation""
",engineering consultancy new product development industrial automation
41,41,41,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Yarev Technology Pvt. Ltd.,Rourkela,IoT,"Established as a Pvt.Limited Company firm in the year 2019, we âYAREV TECHNOLOGY PRIVATE LIMITEDâ are a leading Manufacturer of a wide range of Hand Sanitizer Dispenser, Automatic Soap Dispenser and Hand Sanitizer Dispenser PCB. Situated in Rourkela (Odisha, India), we have constructed a wide and well functional infrastructural unit that plays an important role in the growth of our company. We offer these products at reasonable rates and deliver these within the promised time-frame. Under the headship of âMr. Avinash Yadavâ (Director), we have gained a huge clientele across the nation.",established pvt limited company firm year yarev technology private limited leading manufacturer wide range hand sanitizer dispenser automatic soap dispenser hand sanitizer dispenser pcb situated rourkela odisha india constructed wide well functional infrastructural unit plays important role growth company offer products reasonable rates deliver within promised time frame headship mr avinash yadav director gained huge clientele across nation
42,42,42,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Clavictor Academy Private Limited,Rourkela,Education Technology,"Clavictor Academy Private Limited (Clavimate Classes) is an Ed-Tech startup incubated at FTBI, NIT Rourkela. The startup develops various services like animated video lectures, notes, mock test series, live classes, mentoring facility, real-time doubt clearing facility, and most importantly daily self-study guidance for students under the brand name Clavimate Classes. The startup has won the Odisha Youth Innovation Fund Award-2019 conducted by Govt. of Odisha, and Entrepreneurship in Residence (EiR) grant-2020 from the Ministry of Electronics & IT (MeiTY), Govt. of India. Further, the startup was featured on Twitter of the Ministry of Education, Govt. of India for its effort in implementing student performance improvement strategy to ensure 100% rate of its students. In the last 2 years and 11 months, the startup has helped more than 10000 vernacular medium students of Odisha to get access to high-quality educational services at affordable prices. Further, we have provided free access to our services as scholarships to poor meritorious students based on the recommendation of the school headteachers.",clavictor academy private limited clavimate classes ed tech startup incubated ftbi nit rourkela startup develops various services like animated video lectures notes mock test series live classes mentoring facility real time doubt clearing facility importantly daily self study guidance students brand name clavimate classes startup odisha youth innovation fund award conducted govt odisha entrepreneurship residence eir grant ministry electronics meity govt india startup featured twitter ministry education govt india effort implementing student performance improvement strategy ensure rate students last years months startup helped vernacular medium students odisha get access high quality educational services affordable prices provided free access services scholarships poor meritorious students based recommendation school headteachers
43,43,43,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Coratia Technologies,Rourkela,Robotics,"We are a team of alumni from NIT Rourkela. We have formed a company named Coratia Technologies with an aim to provide an end-to-end solution (as products, integrated solution packages & consultancy services) in the field of product design & development, robotics. Currently, we are providing technical support and services on Autonomous underwater vehicles (AUV), Unmanned aerial vehicles (UAV), Prosthetic arms, Industrial dredging.",team alumni nit rourkela formed company named coratia technologies aim provide end end solution products integrated solution packages consultancy services field product design development robotics currently providing technical support services autonomous underwater vehicles auv unmanned aerial vehicles uav prosthetic arms industrial dredging
44,44,44,Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Quidle Enterprise,Rourkela,IoT and consumer products,Quidle Enterprise is a Tech based urban gardening start-up which aims to re-incarnate the indoor world through innovation by adding the essence of nature. We are currently working on a smart planter that will provide a simple and hassle-free growing system for the indoors.,quidle enterprise tech based urban gardening start aims incarnate indoor world innovation adding essence nature currently working smart planter provide simple hassle free growing system indoors
